nom,lat,lon,comarca,altitud,temperatura,temp_max,temp_min,humitat,precipitacio,vent,data
Sant Martí Sarroca,41.37492,1.6303,Alt Penedès,257,29.6,29.6,17.1,44.0,0.0,,2026-05-31T11:00:00.000
Sant Martí de Riucorb,41.57236,1.0882,Urgell,414,28.4,28.4,16.3,40.0,0.0,,2026-05-31T11:00:00.000
Sant Pau de Segúries,42.25835,2.36426,Ripollès,853,24.9,24.9,10.3,58.0,0.0,1.7,2026-05-31T11:00:00.000
Sant Pere Pescador,42.17716,3.0968,Alt Empordà,3,24.8,25.9,13.9,79.0,0.0,5.1,2026-05-31T11:00:00.000
Sant Pere de Ribes - PN del Garraf,41.27861,1.80478,Garraf,164,27.1,27.2,18.5,57.0,0.0,,2026-05-31T10:00:00.000
Sant Romà d'Abella,42.13922,1.03894,Pallars Jussà,689,29.2,29.2,14.9,42.0,0.0,2.7,2026-05-31T11:00:00.000
Sant Sadurní d'Anoia,41.4353,1.79322,Alt Penedès,155,30.8,31.0,15.0,38.0,0.0,,2026-05-31T11:00:00.000
Sant Salvador de Guardiola,41.67403,1.76797,Bages,347,32.2,32.2,13.1,29.0,0.0,1.9,2026-05-31T11:00:00.000
Santa Coloma de Farners,41.86491,2.66444,Selva,165,29.0,29.0,16.0,41.0,0.0,3.2,2026-05-31T11:00:00.000
Santa Coloma de Queralt,41.52879,1.3683,Conca de Barberà,709,29.0,29.0,15.6,35.0,0.0,,2026-05-31T11:00:00.000
Santuari de Queralt,42.10736,1.8267,Berguedà,1169,25.5,25.5,18.6,52.0,0.0,4.1,2026-05-31T11:00:00.000
Sasseuva (2.226 m),42.77011,0.73198,Val d'Aran,2226,16.6,16.6,11.2,44.0,0.0,,2026-05-31T11:00:00.000
Seròs,41.46373,0.42766,Segrià,89,29.6,29.6,15.1,39.0,0.0,,2026-05-31T11:00:00.000
Solsona,41.98762,1.51159,Solsonès,692,30.0,30.0,13.6,36.0,0.0,3.5,2026-05-31T11:00:00.000
Sort,42.40537,1.12997,Pallars Sobirà,677,28.6,28.6,11.2,42.0,0.0,,2026-05-31T11:00:00.000
Tagamanent - PN del Montseny,41.7476,2.3029,Vallès Oriental,1030,24.8,24.8,17.2,42.0,0.0,,2026-05-31T11:00:00.000
Tarragona - Complex Educatiu,41.10392,1.201,Tarragonès,6,26.7,26.7,18.8,59.0,0.0,3.3,2026-05-31T11:00:00.000
Terrassa,41.55363,1.99006,Vallès Occidental,314,28.5,28.5,18.6,43.0,0.0,3.4,2026-05-31T11:00:00.000
Tivissa,41.04342,0.74029,Ribera d'Ebre,317,28.4,28.4,16.4,40.0,0.0,1.5,2026-05-31T11:00:00.000
Torredembarra,41.14675,1.41843,Tarragonès,2,26.5,26.5,18.1,67.0,0.0,3.4,2026-05-31T11:00:00.000
Torres de Segre,41.51908,0.55316,Segrià,215,28.3,28.3,17.9,40.0,0.0,,2026-05-31T11:00:00.000
Torroella de Fluvià,42.18138,3.06207,Alt Empordà,7,25.9,27.8,14.3,69.0,0.0,,2026-05-31T11:00:00.000
Torroella de Montgrí,42.02306,3.15719,Baix Empordà,4,28.1,28.2,15.6,54.0,0.0,,2026-05-31T11:00:00.000
Torroja del Priorat,41.21629,0.79745,Priorat,301,31.6,31.6,15.8,31.0,0.0,,2026-05-31T11:00:00.000
Tremp,42.16255,0.88811,Pallars Jussà,474,29.0,29.0,13.9,42.0,0.0,1.3,2026-05-31T11:00:00.000
Tírvia,42.51881,1.24244,Pallars Sobirà,955,27.9,27.9,10.9,26.0,0.0,,2026-05-31T11:00:00.000
Ulldecona - els Valentins,40.62653,0.3711,Montsià,211,30.2,30.2,16.0,40.0,0.0,,2026-05-31T11:00:00.000
Ulldemolins,41.31999,0.8857,Priorat,687,28.6,28.6,15.0,37.0,0.0,3.7,2026-05-31T11:00:00.000
Ulldeter (2.413 m),42.42102,2.24593,Ripollès,2413,14.4,14.4,9.8,39.0,0.0,1.9,2026-05-31T11:00:00.000
Vacarisses,41.59251,1.91499,Vallès Occidental,343,29.6,29.6,13.9,38.0,0.0,,2026-05-31T11:00:00.000
Vallfogona de Balaguer,41.78487,0.82939,Noguera,239,28.8,28.8,15.9,46.0,0.0,,2026-05-31T11:00:00.000
Vallirana,41.38199,1.93565,Baix Llobregat,255,28.1,29.4,18.8,49.0,0.0,3.9,2026-05-31T11:00:00.000
Vic,41.93498,2.23984,Osona,500,29.3,29.3,14.0,39.0,0.0,1.4,2026-05-31T11:00:00.000
Vielha - Elipòrt,42.69737,0.80197,Val d'Aran,1029,21.5,22.2,13.7,65.0,0.0,,2026-05-31T11:00:00.000
Vila-rodona,41.30727,1.3626,Alt Camp,286,29.0,29.3,16.4,41.0,0.0,,2026-05-31T11:00:00.000
Viladecans - les Filipines,41.28797,2.04487,Baix Llobregat,2,25.6,25.8,15.7,73.0,0.0,,2026-05-31T11:00:00.000
Viladrau,41.84008,2.41877,Osona,956,25.0,25.0,14.1,50.0,0.0,3.3,2026-05-31T11:00:00.000
Vilafranca del Penedès - la Granada,41.36619,1.72859,Alt Penedès,240,29.2,29.3,15.3,45.0,0.0,4.6,2026-05-31T11:00:00.000
Vilanova de Meià,41.99546,1.02569,Noguera,594,29.6,29.6,16.8,42.0,0.0,1.7,2026-05-31T11:00:00.000
Vilanova de Segrià,41.71448,0.62838,Segrià,223,29.1,29.1,15.1,41.0,0.0,,2026-05-31T11:00:00.000
Vilanova i la Geltrú,41.23578,1.73141,Garraf,32,27.6,27.6,16.4,63.0,0.0,3.4,2026-05-31T11:00:00.000
Vinebre,41.18498,0.59374,Ribera d'Ebre,51,31.3,31.3,16.9,33.0,0.0,1.1,2026-05-31T11:00:00.000
